series_id,year,period,value,footnotes
LAUMT063108000000004,2022,M05,270508,
LAUMT063108000000004,2022,M04,288657,
LAUMT063108000000004,2022,M03,316012,
LAUMT063108000000004,2022,M02,353604,
LAUMT063108000000004,2022,M01,394973,
LAUMT063108000000004,2021,M12,361954,
LAUMT063108000000004,2021,M11,393317,
LAUMT063108000000004,2021,M10,438615,
LAUMT063108000000004,2021,M09,469081,
LAUMT063108000000004,2021,M08,543799,
LAUMT063108000000004,2021,M07,582092,
LAUMT063108000000004,2021,M06,606925,
LAUMT063108000000004,2021,M05,569116,
LAUMT063108000000004,2021,M04,617166,
LAUMT063108000000004,2021,M03,627837,
LAUMT063108000000004,2021,M02,635883,
LAUMT063108000000004,2021,M01,656316,
LAUMT063108000000004,2020,M12,646176,
LAUMT063108000000004,2020,M11,627861,
LAUMT063108000000004,2020,M10,632241,
LAUMT063108000000004,2020,M09,696939,
LAUMT063108000000004,2020,M08,1016457,
LAUMT063108000000004,2020,M07,1134221,
LAUMT063108000000004,2020,M06,1084713,
LAUMT063108000000004,2020,M05,1123216,
LAUMT063108000000004,2020,M04,1035226,
LAUMT063108000000004,2020,M03,403946,
LAUMT063108000000004,2020,M02,303423,
LAUMT063108000000004,2020,M01,305348,
LAUMT063108000000004,2019,M12,261099,
LAUMT063108000000004,2019,M11,265302,
LAUMT063108000000004,2019,M10,272373,
LAUMT063108000000004,2019,M09,272042,
LAUMT063108000000004,2019,M08,297414,
LAUMT063108000000004,2019,M07,307004,
LAUMT063108000000004,2019,M06,281043,
LAUMT063108000000004,2019,M05,247494,
LAUMT063108000000004,2019,M04,249048,
LAUMT063108000000004,2019,M03,279917,
LAUMT063108000000004,2019,M02,275909,
LAUMT063108000000004,2019,M01,308395,
LAUMT063108000000004,2018,M12,273756,
LAUMT063108000000004,2018,M11,270106,
LAUMT063108000000004,2018,M10,279704,
LAUMT063108000000004,2018,M09,281965,
LAUMT063108000000004,2018,M08,309994,
LAUMT063108000000004,2018,M07,318063,
LAUMT063108000000004,2018,M06,301721,
LAUMT063108000000004,2018,M05,253600,
LAUMT063108000000004,2018,M04,263677,
LAUMT063108000000004,2018,M03,276855,
LAUMT063108000000004,2018,M02,292372,
LAUMT063108000000004,2018,M01,302850,
LAUMT063108000000004,2017,M12,270378,
LAUMT063108000000004,2017,M11,277386,
LAUMT063108000000004,2017,M10,283963,
LAUMT063108000000004,2017,M09,300438,
LAUMT063108000000004,2017,M08,334791,
LAUMT063108000000004,2017,M07,341759,
LAUMT063108000000004,2017,M06,306867,
LAUMT063108000000004,2017,M05,277926,
LAUMT063108000000004,2017,M04,283076,
LAUMT063108000000004,2017,M03,299454,
LAUMT063108000000004,2017,M02,320287,
LAUMT063108000000004,2017,M01,333373,
LAUMT063108000000004,2016,M12,302379,
LAUMT063108000000004,2016,M11,309501,
LAUMT063108000000004,2016,M10,332794,
LAUMT063108000000004,2016,M09,344643,
LAUMT063108000000004,2016,M08,356911,
LAUMT063108000000004,2016,M07,366086,
LAUMT063108000000004,2016,M06,340827,
LAUMT063108000000004,2016,M05,298451,
LAUMT063108000000004,2016,M04,313944,
LAUMT063108000000004,2016,M03,331848,
LAUMT063108000000004,2016,M02,340156,
LAUMT063108000000004,2016,M01,351666,
LAUMT063108000000004,2015,M12,335132,
LAUMT063108000000004,2015,M11,349664,
LAUMT063108000000004,2015,M10,362609,
LAUMT063108000000004,2015,M09,371445,
LAUMT063108000000004,2015,M08,405136,
LAUMT063108000000004,2015,M07,437462,
LAUMT063108000000004,2015,M06,416913,
LAUMT063108000000004,2015,M05,412880,
LAUMT063108000000004,2015,M04,407406,
LAUMT063108000000004,2015,M03,429197,
LAUMT063108000000004,2015,M02,447763,
LAUMT063108000000004,2015,M01,471649,
LAUMT063108000000004,2014,M12,433917,
LAUMT063108000000004,2014,M11,463936,
LAUMT063108000000004,2014,M10,473276,
LAUMT063108000000004,2014,M09,487423,
LAUMT063108000000004,2014,M08,526036,
LAUMT063108000000004,2014,M07,544420,
LAUMT063108000000004,2014,M06,498305,
LAUMT063108000000004,2014,M05,480582,
LAUMT063108000000004,2014,M04,465387,
LAUMT063108000000004,2014,M03,524656,
LAUMT063108000000004,2014,M02,533308,
LAUMT063108000000004,2014,M01,535288,
LAUMT063108000000005,2024,M11,6270856,Preliminary.
LAUMT063108000000005,2024,M10,6295631,
LAUMT063108000000005,2024,M09,6347784,
LAUMT063108000000005,2024,M08,6272919,
LAUMT063108000000005,2024,M07,6285633,
LAUMT063108000000005,2024,M06,6275350,
LAUMT063108000000005,2024,M05,6283192,
LAUMT063108000000005,2024,M04,6268056,
LAUMT063108000000005,2024,M03,6302863,
LAUMT063108000000005,2024,M02,6290667,
LAUMT063108000000005,2024,M01,6240072,
LAUMT063108000000005,2023,M12,6241781,
LAUMT063108000000005,2023,M11,6307977,
LAUMT063108000000005,2023,M10,6284960,
LAUMT063108000000005,2023,M09,6298493,
LAUMT063108000000005,2023,M08,6249585,
LAUMT063108000000005,2023,M07,6275860,
LAUMT063108000000005,2023,M06,6272101,
LAUMT063108000000005,2023,M05,6298352,
LAUMT063108000000005,2023,M04,6328160,
LAUMT063108000000005,2023,M03,6357465,
LAUMT063108000000005,2023,M02,6345983,
LAUMT063108000000005,2023,M01,6291307,
LAUMT063108000000005,2022,M12,6317036,
LAUMT063108000000005,2022,M11,6321899,
LAUMT063108000000005,2022,M10,6301468,
LAUMT063108000000005,2022,M09,6313600,
LAUMT063108000000005,2022,M08,6255368,
LAUMT063108000000005,2022,M07,6271511,
LAUMT063108000000005,2022,M06,6247369,
LAUMT063108000000005,2022,M05,6308906,
LAUMT063108000000005,2022,M04,6299856,
LAUMT063108000000005,2022,M03,6337707,
LAUMT063108000000005,2022,M02,6313424,
LAUMT063108000000005,2022,M01,6228731,
LAUMT063108000000005,2021,M12,6236560,
LAUMT063108000000005,2021,M11,6245873,
LAUMT063108000000005,2021,M10,6172837,
LAUMT063108000000005,2021,M09,6123941,
LAUMT063108000000005,2021,M08,6037684,
LAUMT063108000000005,2021,M07,6037081,
LAUMT063108000000005,2021,M06,5952368,
LAUMT063108000000005,2021,M05,5975359,
LAUMT063108000000005,2021,M04,5926870,
LAUMT063108000000005,2021,M03,5914651,
LAUMT063108000000005,2021,M02,5885242,
LAUMT063108000000005,2021,M01,5767026,
LAUMT063108000000005,2020,M12,5784158,
LAUMT063108000000005,2020,M11,5828095,
LAUMT063108000000005,2020,M10,5798606,
LAUMT063108000000005,2020,M09,5682404,
LAUMT063108000000005,2020,M08,5584432,
LAUMT063108000000005,2020,M07,5498252,
LAUMT063108000000005,2020,M06,5437085,
LAUMT063108000000005,2020,M05,5112717,
LAUMT063108000000005,2020,M04,5311616,
LAUMT063108000000005,2020,M03,6223181,
LAUMT063108000000005,2020,M02,6621960,
LAUMT063108000000005,2020,M01,6569535,
LAUMT063108000000005,2019,M12,6559072,
LAUMT063108000000005,2019,M11,6584814,
LAUMT063108000000005,2019,M10,6526224,
LAUMT063108000000005,2019,M09,6537799,
LAUMT063108000000005,2019,M08,6428453,
LAUMT063108000000005,2019,M07,6460984,
LAUMT063108000000005,2019,M06,6419084,
LAUMT063108000000005,2019,M05,6463758,
LAUMT063108000000005,2019,M04,6438232,
LAUMT063108000000005,2019,M03,6481295,
LAUMT063108000000005,2019,M02,6496382,
LAUMT063108000000005,2019,M01,6436533,
LAUMT063108000000005,2018,M12,6462583,
LAUMT063108000000005,2018,M11,6501604,
LAUMT063108000000005,2018,M10,6461837,
LAUMT063108000000005,2018,M09,6456972,
LAUMT063108000000005,2018,M08,6369664,
LAUMT063108000000005,2018,M07,6445132,
LAUMT063108000000005,2018,M06,6405718,
LAUMT063108000000005,2018,M05,6460593,
LAUMT063108000000005,2018,M04,6464729,
LAUMT063108000000005,2018,M03,6491992,
LAUMT063108000000005,2018,M02,6480219,
LAUMT063108000000005,2018,M01,6406173,
LAUMT063108000000005,2017,M12,6428488,
LAUMT063108000000005,2017,M11,6469892,
LAUMT063108000000005,2017,M10,6444397,
LAUMT063108000000005,2017,M09,6476806,
LAUMT063108000000005,2017,M08,6364843,
LAUMT063108000000005,2017,M07,6404734,
LAUMT063108000000005,2017,M06,6377011,
LAUMT063108000000005,2017,M05,6416304,
LAUMT063108000000005,2017,M04,6419544,
LAUMT063108000000005,2017,M03,6426927,
LAUMT063108000000005,2017,M02,6397960,
LAUMT063108000000005,2017,M01,6330560,
LAUMT063108000000005,2016,M12,6329585,
LAUMT063108000000005,2016,M11,6355050,
LAUMT063108000000005,2016,M10,6319094,
LAUMT063108000000005,2016,M09,6332691,
LAUMT063108000000005,2016,M08,6254958,
LAUMT063108000000005,2016,M07,6281832,
LAUMT063108000000005,2016,M06,6244288,
LAUMT063108000000005,2016,M05,6279664,
LAUMT063108000000005,2016,M04,6275055,
LAUMT063108000000005,2016,M03,6274572,
LAUMT063108000000005,2016,M02,6260713,
LAUMT063108000000005,2016,M01,6199703,
LAUMT063108000000005,2015,M12,6199843,
LAUMT063108000000005,2015,M11,6221142,
LAUMT063108000000005,2015,M10,6175885,
LAUMT063108000000005,2015,M09,6163126,
LAUMT063108000000005,2015,M08,6108008,
LAUMT063108000000005,2015,M07,6130874,
LAUMT063108000000005,2015,M06,6129797,
LAUMT063108000000005,2015,M05,6174888,
LAUMT063108000000005,2015,M04,6162139,
LAUMT063108000000005,2015,M03,6137659,
LAUMT063108000000005,2015,M02,6141749,
LAUMT063108000000005,2015,M01,6104250,
LAUMT063108000000005,2014,M12,6127028,
LAUMT063108000000005,2014,M11,6135065,
LAUMT063108000000005,2014,M10,6109024,
LAUMT063108000000005,2014,M09,6107056,
LAUMT063108000000005,2014,M08,6030636,
LAUMT063108000000005,2014,M07,6030729,
LAUMT063108000000005,2014,M06,6022717,
LAUMT063108000000005,2014,M05,6043371,
LAUMT063108000000005,2014,M04,6040334,
LAUMT063108000000005,2014,M03,6019570,
LAUMT063108000000005,2014,M02,5994441,
LAUMT063108000000005,2014,M01,5947789,
LAUMT063108000000006,2024,M11,6628699,Preliminary.
LAUMT063108000000006,2024,M10,6668810,
LAUMT063108000000006,2024,M09,6720548,
LAUMT063108000000006,2024,M08,6684386,
LAUMT063108000000006,2024,M07,6686648,
LAUMT063108000000006,2024,M06,6639103,
LAUMT063108000000006,2024,M05,6592484,
LAUMT063108000000006,2024,M04,6548710,
LAUMT063108000000006,2024,M03,6627534,
LAUMT063108000000006,2024,M02,6609009,
LAUMT063108000000006,2024,M01,6603080,
LAUMT063108000000006,2023,M12,6547833,
LAUMT063108000000006,2023,M11,6617601,
LAUMT063108000000006,2023,M10,6603309,
LAUMT063108000000006,2023,M09,6626720,
LAUMT063108000000006,2023,M08,6596247,
LAUMT063108000000006,2023,M07,6600082,
LAUMT063108000000006,2023,M06,6581934,
LAUMT063108000000006,2023,M05,6580845,
LAUMT063108000000006,2023,M04,6593269,
LAUMT063108000000006,2023,M03,6651614,
LAUMT063108000000006,2023,M02,6657193,
LAUMT063108000000006,2023,M01,6597376,
LAUMT063108000000006,2022,M12,6583558,
LAUMT063108000000006,2022,M11,6602854,
LAUMT063108000000006,2022,M10,6578012,
LAUMT063108000000006,2022,M09,6580189,
LAUMT063108000000006,2022,M08,6543787,
LAUMT063108000000006,2022,M07,6566791,
LAUMT063108000000006,2022,M06,6544003,
LAUMT063108000000006,2022,M05,6579414,
LAUMT063108000000006,2022,M04,6588513,
LAUMT063108000000006,2022,M03,6653719,
LAUMT063108000000006,2022,M02,6667028,
LAUMT063108000000006,2022,M01,6623704,
LAUMT063108000000006,2021,M12,6598514,
LAUMT063108000000006,2021,M11,6639190,
LAUMT063108000000006,2021,M10,6611452,
LAUMT063108000000006,2021,M09,6593022,
LAUMT063108000000006,2021,M08,6581483,
LAUMT063108000000006,2021,M07,6619173,
LAUMT063108000000006,2021,M06,6559293,
LAUMT063108000000006,2021,M05,6544475,
LAUMT063108000000006,2021,M04,6544036,
LAUMT063108000000006,2021,M03,6542488,
LAUMT063108000000006,2021,M02,6521125,
LAUMT063108000000006,2021,M01,6423342,
LAUMT063108000000006,2020,M12,6430334,
LAUMT063108000000006,2020,M11,6455956,
LAUMT063108000000006,2020,M10,6430847,
LAUMT063108000000006,2020,M09,6379343,
LAUMT063108000000006,2020,M08,6600889,
LAUMT063108000000006,2020,M07,6632473,
LAUMT063108000000006,2020,M06,6521798,
LAUMT063108000000006,2020,M05,6235933,
LAUMT063108000000006,2020,M04,6346842,
LAUMT063108000000006,2020,M03,6627127,
LAUMT063108000000006,2020,M02,6925383,
LAUMT063108000000006,2020,M01,6874883,
LAUMT063108000000006,2019,M12,6820171,
LAUMT063108000000006,2019,M11,6850116,
LAUMT063108000000006,2019,M10,6798597,
LAUMT063108000000006,2019,M09,6809841,
LAUMT063108000000006,2019,M08,6725867,
LAUMT063108000000006,2019,M07,6767988,
LAUMT063108000000006,2019,M06,6700127,
LAUMT063108000000006,2019,M05,6711252,
LAUMT063108000000006,2019,M04,6687280,
LAUMT063108000000006,2019,M03,6761212,
LAUMT063108000000006,2019,M02,6772291,
LAUMT063108000000006,2019,M01,6744928,
LAUMT063108000000006,2018,M12,6736339,
LAUMT063108000000006,2018,M11,6771710,
LAUMT063108000000006,2018,M10,6741541,
LAUMT063108000000006,2018,M09,6738937,
LAUMT063108000000006,2018,M08,6679658,
LAUMT063108000000006,2018,M07,6763195,
LAUMT063108000000006,2018,M06,6707439,
LAUMT063108000000006,2018,M05,6714193,
LAUMT063108000000006,2018,M04,6728406,
LAUMT063108000000006,2018,M03,6768847,
LAUMT063108000000006,2018,M02,6772591,
LAUMT063108000000006,2018,M01,6709023,
LAUMT063108000000006,2017,M12,6698866,
LAUMT063108000000006,2017,M11,6747278,
LAUMT063108000000006,2017,M10,6728360,
LAUMT063108000000006,2017,M09,6777244,
LAUMT063108000000006,2017,M08,6699634,
LAUMT063108000000006,2017,M07,6746493,
LAUMT063108000000006,2017,M06,6683878,
LAUMT063108000000006,2017,M05,6694230,
LAUMT063108000000006,2017,M04,6702620,
LAUMT063108000000006,2017,M03,6726381,
LAUMT063108000000006,2017,M02,6718247,
LAUMT063108000000006,2017,M01,6663933,
LAUMT063108000000006,2016,M12,6631964,
LAUMT063108000000006,2016,M11,6664551,
LAUMT063108000000006,2016,M10,6651888,
LAUMT063108000000006,2016,M09,6677334,
LAUMT063108000000006,2016,M08,6611869,
LAUMT063108000000006,2016,M07,6647918,
LAUMT063108000000006,2016,M06,6585115,
LAUMT063108000000006,2016,M05,6578115,
LAUMT063108000000006,2016,M04,6588999,
LAUMT063108000000006,2016,M03,6606420,
LAUMT063108000000006,2016,M02,6600869,
LAUMT063108000000006,2016,M01,6551369,
LAUMT063108000000006,2015,M12,6534975,
LAUMT063108000000006,2015,M11,6570806,
LAUMT063108000000006,2015,M10,6538494,
LAUMT063108000000006,2015,M09,6534571,
LAUMT063108000000006,2015,M08,6513144,
LAUMT063108000000006,2015,M07,6568336,
LAUMT063108000000006,2015,M06,6546710,
LAUMT063108000000006,2015,M05,6587768,
LAUMT063108000000006,2015,M04,6569545,
LAUMT063108000000006,2015,M03,6566856,
LAUMT063108000000006,2015,M02,6589512,
LAUMT063108000000006,2015,M01,6575899,
LAUMT063108000000006,2014,M12,6560945,
LAUMT063108000000006,2014,M11,6599001,
LAUMT063108000000006,2014,M10,6582300,
LAUMT063108000000006,2014,M09,6594479,
LAUMT063108000000006,2014,M08,6556672,
LAUMT063108000000006,2014,M07,6575149,
LAUMT063108000000006,2014,M06,6521022,
LAUMT063108000000006,2014,M05,6523953,
LAUMT063108000000006,2014,M04,6505721,
LAUMT063108000000006,2014,M03,6544226,
LAUMT063108000000006,2014,M02,6527749,
LAUMT063108000000006,2014,M01,6483077,
