series_id,year,period,value,month,date,series_label,femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id,incidentYear,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%)
LAUMT063108000000005,2014,M03,6019570.0,3,2014-03-01,Number of Employed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000006,2014,M03,6544226.0,3,2014-03-01,Total Labor Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000003,2014,M04,7.2,4,2014-04-01,Unemployment Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000006,2014,M04,6505721.0,4,2014-04-01,Total Labor Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000004,2014,M04,465387.0,4,2014-04-01,Number of Unemployed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000005,2014,M04,6040334.0,4,2014-04-01,Number of Employed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000006,2014,M05,6523953.0,5,2014-05-01,Total Labor Force,FM-5055-CA,5055.0,CA,FM,2014-05-14,2014.0,Fire,COCOS FIRE,False,False,True,False,2014-05-14,2014-05-22,False,6.0,73.0,99073.0,San Diego (County),14036.0,2014051501.0,9.0,W,2024-08-27T18:22:14.800Z,61b1ea6ecbbe02bc49bf417c8f7ff77aed1c3427,62f44348-48b3-438f-a1a8-3f26a7db2b06,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2014,M05,7.4,5,2014-05-01,Unemployment Rate (%),FM-5055-CA,5055.0,CA,FM,2014-05-14,2014.0,Fire,COCOS FIRE,False,False,True,False,2014-05-14,2014-05-22,False,6.0,73.0,99073.0,San Diego (County),14036.0,2014051501.0,9.0,W,2024-08-27T18:22:14.800Z,61b1ea6ecbbe02bc49bf417c8f7ff77aed1c3427,62f44348-48b3-438f-a1a8-3f26a7db2b06,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000004,2014,M05,480582.0,5,2014-05-01,Number of Unemployed Persons,FM-5055-CA,5055.0,CA,FM,2014-05-14,2014.0,Fire,COCOS FIRE,False,False,True,False,2014-05-14,2014-05-22,False,6.0,73.0,99073.0,San Diego (County),14036.0,2014051501.0,9.0,W,2024-08-27T18:22:14.800Z,61b1ea6ecbbe02bc49bf417c8f7ff77aed1c3427,62f44348-48b3-438f-a1a8-3f26a7db2b06,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000005,2014,M05,6043371.0,5,2014-05-01,Number of Employed Persons,FM-5055-CA,5055.0,CA,FM,2014-05-14,2014.0,Fire,COCOS FIRE,False,False,True,False,2014-05-14,2014-05-22,False,6.0,73.0,99073.0,San Diego (County),14036.0,2014051501.0,9.0,W,2024-08-27T18:22:14.800Z,61b1ea6ecbbe02bc49bf417c8f7ff77aed1c3427,62f44348-48b3-438f-a1a8-3f26a7db2b06,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000005,2014,M06,6022717.0,6,2014-06-01,Number of Employed Persons,FM-5054-CA,5054.0,CA,FM,2014-05-14,2014.0,Fire,POINSETTIA FIRE,False,False,True,False,2014-05-14,2014-05-17,False,6.0,73.0,99073.0,San Diego (County),14035.0,2014051402.0,9.0,W,2024-08-27T18:22:14.800Z,3a21998ae9b25a2014e7e62474ac775a5a37c449,5de72391-b082-4716-82eb-470aeb3241f5,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000004,2014,M06,498305.0,6,2014-06-01,Number of Unemployed Persons,FM-5054-CA,5054.0,CA,FM,2014-05-14,2014.0,Fire,POINSETTIA FIRE,False,False,True,False,2014-05-14,2014-05-17,False,6.0,73.0,99073.0,San Diego (County),14035.0,2014051402.0,9.0,W,2024-08-27T18:22:14.800Z,3a21998ae9b25a2014e7e62474ac775a5a37c449,5de72391-b082-4716-82eb-470aeb3241f5,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2014,M06,7.6,6,2014-06-01,Unemployment Rate (%),FM-5054-CA,5054.0,CA,FM,2014-05-14,2014.0,Fire,POINSETTIA FIRE,False,False,True,False,2014-05-14,2014-05-17,False,6.0,73.0,99073.0,San Diego (County),14035.0,2014051402.0,9.0,W,2024-08-27T18:22:14.800Z,3a21998ae9b25a2014e7e62474ac775a5a37c449,5de72391-b082-4716-82eb-470aeb3241f5,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000006,2014,M06,6521022.0,6,2014-06-01,Total Labor Force,FM-5054-CA,5054.0,CA,FM,2014-05-14,2014.0,Fire,POINSETTIA FIRE,False,False,True,False,2014-05-14,2014-05-17,False,6.0,73.0,99073.0,San Diego (County),14035.0,2014051402.0,9.0,W,2024-08-27T18:22:14.800Z,3a21998ae9b25a2014e7e62474ac775a5a37c449,5de72391-b082-4716-82eb-470aeb3241f5,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2014,M07,8.3,7,2014-07-01,Unemployment Rate (%),FM-5057-CA,5057.0,CA,FM,2014-07-02,2014.0,Fire,BUTTS FIRE,False,False,True,False,2014-07-01,2014-07-06,False,6.0,55.0,99055.0,Napa (County),14041.0,2014070202.0,9.0,W,2024-08-27T18:22:14.800Z,f2a5c354f42f7b46c3af096610745100f24f4d36,9514b8b6-d24d-46b7-96ba-bd3b0f00fbf5,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000005,2014,M07,6030729.0,7,2014-07-01,Number of Employed Persons,FM-5057-CA,5057.0,CA,FM,2014-07-02,2014.0,Fire,BUTTS FIRE,False,False,True,False,2014-07-01,2014-07-06,False,6.0,55.0,99055.0,Napa (County),14041.0,2014070202.0,9.0,W,2024-08-27T18:22:14.800Z,f2a5c354f42f7b46c3af096610745100f24f4d36,9514b8b6-d24d-46b7-96ba-bd3b0f00fbf5,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000004,2014,M07,544420.0,7,2014-07-01,Number of Unemployed Persons,FM-5057-CA,5057.0,CA,FM,2014-07-02,2014.0,Fire,BUTTS FIRE,False,False,True,False,2014-07-01,2014-07-06,False,6.0,55.0,99055.0,Napa (County),14041.0,2014070202.0,9.0,W,2024-08-27T18:22:14.800Z,f2a5c354f42f7b46c3af096610745100f24f4d36,9514b8b6-d24d-46b7-96ba-bd3b0f00fbf5,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000006,2014,M07,6575149.0,7,2014-07-01,Total Labor Force,FM-5057-CA,5057.0,CA,FM,2014-07-02,2014.0,Fire,BUTTS FIRE,False,False,True,False,2014-07-01,2014-07-06,False,6.0,55.0,99055.0,Napa (County),14041.0,2014070202.0,9.0,W,2024-08-27T18:22:14.800Z,f2a5c354f42f7b46c3af096610745100f24f4d36,9514b8b6-d24d-46b7-96ba-bd3b0f00fbf5,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000006,2014,M08,6556672.0,8,2014-08-01,Total Labor Force,FM-5070-CA,5070.0,CA,FM,2014-08-03,2014.0,Fire,DAY FIRE,False,False,True,False,2014-08-01,2014-08-09,False,6.0,49.0,99049.0,Modoc (County),14064.0,2014080303.0,9.0,W,2024-08-27T18:22:14.800Z,6f537d576ce7a42da82bc7b321e95bc2bda70628,3eda368b-1239-4494-b2e0-f8778df51f18,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000004,2014,M08,526036.0,8,2014-08-01,Number of Unemployed Persons,FM-5070-CA,5070.0,CA,FM,2014-08-03,2014.0,Fire,DAY FIRE,False,False,True,False,2014-08-01,2014-08-09,False,6.0,49.0,99049.0,Modoc (County),14064.0,2014080303.0,9.0,W,2024-08-27T18:22:14.800Z,6f537d576ce7a42da82bc7b321e95bc2bda70628,3eda368b-1239-4494-b2e0-f8778df51f18,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2014,M08,8.0,8,2014-08-01,Unemployment Rate (%),FM-5070-CA,5070.0,CA,FM,2014-08-03,2014.0,Fire,DAY FIRE,False,False,True,False,2014-08-01,2014-08-09,False,6.0,49.0,99049.0,Modoc (County),14064.0,2014080303.0,9.0,W,2024-08-27T18:22:14.800Z,6f537d576ce7a42da82bc7b321e95bc2bda70628,3eda368b-1239-4494-b2e0-f8778df51f18,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000005,2014,M08,6030636.0,8,2014-08-01,Number of Employed Persons,FM-5070-CA,5070.0,CA,FM,2014-08-03,2014.0,Fire,DAY FIRE,False,False,True,False,2014-08-01,2014-08-09,False,6.0,49.0,99049.0,Modoc (County),14064.0,2014080303.0,9.0,W,2024-08-27T18:22:14.800Z,6f537d576ce7a42da82bc7b321e95bc2bda70628,3eda368b-1239-4494-b2e0-f8778df51f18,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000005,2014,M09,6107056.0,9,2014-09-01,Number of Employed Persons,FM-5077-CA,5077.0,CA,FM,2014-09-05,2014.0,Fire,BRIDGE FIRE,False,False,True,False,2014-09-05,2014-09-10,False,6.0,43.0,99043.0,Mariposa (County),14079.0,2014090601.0,9.0,W,2024-08-27T18:22:14.800Z,ed4c6263cac247323484926c55238e02c0a7f7a4,08f46857-4c18-42f6-990d-41cf3c280ddc,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000004,2014,M09,487423.0,9,2014-09-01,Number of Unemployed Persons,FM-5077-CA,5077.0,CA,FM,2014-09-05,2014.0,Fire,BRIDGE FIRE,False,False,True,False,2014-09-05,2014-09-10,False,6.0,43.0,99043.0,Mariposa (County),14079.0,2014090601.0,9.0,W,2024-08-27T18:22:14.800Z,ed4c6263cac247323484926c55238e02c0a7f7a4,08f46857-4c18-42f6-990d-41cf3c280ddc,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2014,M09,7.4,9,2014-09-01,Unemployment Rate (%),FM-5077-CA,5077.0,CA,FM,2014-09-05,2014.0,Fire,BRIDGE FIRE,False,False,True,False,2014-09-05,2014-09-10,False,6.0,43.0,99043.0,Mariposa (County),14079.0,2014090601.0,9.0,W,2024-08-27T18:22:14.800Z,ed4c6263cac247323484926c55238e02c0a7f7a4,08f46857-4c18-42f6-990d-41cf3c280ddc,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000006,2014,M09,6594479.0,9,2014-09-01,Total Labor Force,FM-5077-CA,5077.0,CA,FM,2014-09-05,2014.0,Fire,BRIDGE FIRE,False,False,True,False,2014-09-05,2014-09-10,False,6.0,43.0,99043.0,Mariposa (County),14079.0,2014090601.0,9.0,W,2024-08-27T18:22:14.800Z,ed4c6263cac247323484926c55238e02c0a7f7a4,08f46857-4c18-42f6-990d-41cf3c280ddc,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000004,2014,M10,473276.0,10,2014-10-01,Number of Unemployed Persons,FM-5082-CA,5082.0,CA,FM,2014-10-08,2015.0,Fire,APPLEGATE FIRE,False,False,True,False,2014-10-08,2014-10-13,False,6.0,61.0,99061.0,Placer (County),14091.0,2014100901.0,9.0,W,2024-08-27T18:22:14.800Z,b5475f7d619bcbcbb4b09b1e8c6daf43a4401f58,eea3a4d9-249b-419e-96d9-5297f033a58c,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000006,2014,M10,6582300.0,10,2014-10-01,Total Labor Force,FM-5082-CA,5082.0,CA,FM,2014-10-08,2015.0,Fire,APPLEGATE FIRE,False,False,True,False,2014-10-08,2014-10-13,False,6.0,61.0,99061.0,Placer (County),14091.0,2014100901.0,9.0,W,2024-08-27T18:22:14.800Z,b5475f7d619bcbcbb4b09b1e8c6daf43a4401f58,eea3a4d9-249b-419e-96d9-5297f033a58c,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2014,M10,7.2,10,2014-10-01,Unemployment Rate (%),FM-5082-CA,5082.0,CA,FM,2014-10-08,2015.0,Fire,APPLEGATE FIRE,False,False,True,False,2014-10-08,2014-10-13,False,6.0,61.0,99061.0,Placer (County),14091.0,2014100901.0,9.0,W,2024-08-27T18:22:14.800Z,b5475f7d619bcbcbb4b09b1e8c6daf43a4401f58,eea3a4d9-249b-419e-96d9-5297f033a58c,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000005,2014,M10,6109024.0,10,2014-10-01,Number of Employed Persons,FM-5082-CA,5082.0,CA,FM,2014-10-08,2015.0,Fire,APPLEGATE FIRE,False,False,True,False,2014-10-08,2014-10-13,False,6.0,61.0,99061.0,Placer (County),14091.0,2014100901.0,9.0,W,2024-08-27T18:22:14.800Z,b5475f7d619bcbcbb4b09b1e8c6daf43a4401f58,eea3a4d9-249b-419e-96d9-5297f033a58c,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000004,2014,M11,463936.0,11,2014-11-01,Number of Unemployed Persons,FM-5082-CA,5082.0,CA,FM,2014-10-08,2015.0,Fire,APPLEGATE FIRE,False,False,True,False,2014-10-08,2014-10-13,False,6.0,61.0,99061.0,Placer (County),14091.0,2014100901.0,9.0,W,2024-08-27T18:22:14.800Z,b5475f7d619bcbcbb4b09b1e8c6daf43a4401f58,eea3a4d9-249b-419e-96d9-5297f033a58c,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2014,M11,7.0,11,2014-11-01,Unemployment Rate (%),FM-5082-CA,5082.0,CA,FM,2014-10-08,2015.0,Fire,APPLEGATE FIRE,False,False,True,False,2014-10-08,2014-10-13,False,6.0,61.0,99061.0,Placer (County),14091.0,2014100901.0,9.0,W,2024-08-27T18:22:14.800Z,b5475f7d619bcbcbb4b09b1e8c6daf43a4401f58,eea3a4d9-249b-419e-96d9-5297f033a58c,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000005,2014,M11,6135065.0,11,2014-11-01,Number of Employed Persons,FM-5082-CA,5082.0,CA,FM,2014-10-08,2015.0,Fire,APPLEGATE FIRE,False,False,True,False,2014-10-08,2014-10-13,False,6.0,61.0,99061.0,Placer (County),14091.0,2014100901.0,9.0,W,2024-08-27T18:22:14.800Z,b5475f7d619bcbcbb4b09b1e8c6daf43a4401f58,eea3a4d9-249b-419e-96d9-5297f033a58c,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000006,2014,M11,6599001.0,11,2014-11-01,Total Labor Force,FM-5082-CA,5082.0,CA,FM,2014-10-08,2015.0,Fire,APPLEGATE FIRE,False,False,True,False,2014-10-08,2014-10-13,False,6.0,61.0,99061.0,Placer (County),14091.0,2014100901.0,9.0,W,2024-08-27T18:22:14.800Z,b5475f7d619bcbcbb4b09b1e8c6daf43a4401f58,eea3a4d9-249b-419e-96d9-5297f033a58c,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000006,2014,M12,6560945.0,12,2014-12-01,Total Labor Force,DR-4206-CA,4206.0,CA,DR,2015-01-27,2015.0,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",False,False,True,True,2014-12-04,2014-12-06,True,6.0,0.0,72468.0,Soboba Indian Reservation,15002.0,2014121901.0,9.0,W,2024-08-27T18:22:14.800Z,46abc0e810ad407aee9a2cd7b4f2cee4e4f28d68,1f43ede7-a241-4205-b8c5-706e50810eca,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2014,M12,6.6,12,2014-12-01,Unemployment Rate (%),DR-4206-CA,4206.0,CA,DR,2015-01-27,2015.0,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",False,False,True,True,2014-12-04,2014-12-06,True,6.0,0.0,72468.0,Soboba Indian Reservation,15002.0,2014121901.0,9.0,W,2024-08-27T18:22:14.800Z,46abc0e810ad407aee9a2cd7b4f2cee4e4f28d68,1f43ede7-a241-4205-b8c5-706e50810eca,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000004,2014,M12,433917.0,12,2014-12-01,Number of Unemployed Persons,DR-4206-CA,4206.0,CA,DR,2015-01-27,2015.0,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",False,False,True,True,2014-12-04,2014-12-06,True,6.0,0.0,72468.0,Soboba Indian Reservation,15002.0,2014121901.0,9.0,W,2024-08-27T18:22:14.800Z,46abc0e810ad407aee9a2cd7b4f2cee4e4f28d68,1f43ede7-a241-4205-b8c5-706e50810eca,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000005,2014,M12,6127028.0,12,2014-12-01,Number of Employed Persons,DR-4206-CA,4206.0,CA,DR,2015-01-27,2015.0,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",False,False,True,True,2014-12-04,2014-12-06,True,6.0,0.0,72468.0,Soboba Indian Reservation,15002.0,2014121901.0,9.0,W,2024-08-27T18:22:14.800Z,46abc0e810ad407aee9a2cd7b4f2cee4e4f28d68,1f43ede7-a241-4205-b8c5-706e50810eca,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000006,2015,M01,6575899.0,1,2015-01-01,Total Labor Force,DR-4206-CA,4206.0,CA,DR,2015-01-27,2015.0,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",False,False,True,True,2014-12-04,2014-12-06,True,6.0,0.0,72468.0,Soboba Indian Reservation,15002.0,2014121901.0,9.0,W,2024-08-27T18:22:14.800Z,46abc0e810ad407aee9a2cd7b4f2cee4e4f28d68,1f43ede7-a241-4205-b8c5-706e50810eca,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2015,M01,7.2,1,2015-01-01,Unemployment Rate (%),DR-4206-CA,4206.0,CA,DR,2015-01-27,2015.0,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",False,False,True,True,2014-12-04,2014-12-06,True,6.0,0.0,72468.0,Soboba Indian Reservation,15002.0,2014121901.0,9.0,W,2024-08-27T18:22:14.800Z,46abc0e810ad407aee9a2cd7b4f2cee4e4f28d68,1f43ede7-a241-4205-b8c5-706e50810eca,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000004,2015,M01,471649.0,1,2015-01-01,Number of Unemployed Persons,DR-4206-CA,4206.0,CA,DR,2015-01-27,2015.0,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",False,False,True,True,2014-12-04,2014-12-06,True,6.0,0.0,72468.0,Soboba Indian Reservation,15002.0,2014121901.0,9.0,W,2024-08-27T18:22:14.800Z,46abc0e810ad407aee9a2cd7b4f2cee4e4f28d68,1f43ede7-a241-4205-b8c5-706e50810eca,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000005,2015,M01,6104250.0,1,2015-01-01,Number of Employed Persons,DR-4206-CA,4206.0,CA,DR,2015-01-27,2015.0,Flood,"SEVERE STORMS, FLOODING, AND MUDSLIDES",False,False,True,True,2014-12-04,2014-12-06,True,6.0,0.0,72468.0,Soboba Indian Reservation,15002.0,2014121901.0,9.0,W,2024-08-27T18:22:14.800Z,46abc0e810ad407aee9a2cd7b4f2cee4e4f28d68,1f43ede7-a241-4205-b8c5-706e50810eca,2014.0,5.5,10.7,3.2,1015.0,560097732.0,42.2,2.0,50.4
LAUMT063108000000003,2015,M02,6.8,2,2015-02-01,Unemployment Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000004,2015,M02,447763.0,2,2015-02-01,Number of Unemployed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000005,2015,M02,6141749.0,2,2015-02-01,Number of Employed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000006,2015,M02,6589512.0,2,2015-02-01,Total Labor Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000006,2015,M03,6566856.0,3,2015-03-01,Total Labor Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000003,2015,M03,6.5,3,2015-03-01,Unemployment Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000005,2015,M03,6137659.0,3,2015-03-01,Number of Employed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000004,2015,M03,429197.0,3,2015-03-01,Number of Unemployed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000003,2015,M04,6.2,4,2015-04-01,Unemployment Rate (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000006,2015,M04,6569545.0,4,2015-04-01,Total Labor Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000005,2015,M04,6162139.0,4,2015-04-01,Number of Employed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000004,2015,M04,407406.0,4,2015-04-01,Number of Unemployed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000006,2015,M05,6587768.0,5,2015-05-01,Total Labor Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000004,2015,M05,412880.0,5,2015-05-01,Number of Unemployed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUMT063108000000005,2015,M05,6174888.0,5,2015-05-01,Number of Employed Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
